loan_number,installment_no,amount,paid_date,payment_method,currency,exchange_rate,reference_number,note
001525,5-2022,535,2022-05-29,ABA,USD,1,0015251,ដកការប្រាក់ចេញ
001454,5-2022,348.4,2022-05-30,Cash,USD,1,0014541,ដកការប្រាក់ចេញ
001532,5-2022,500,2022-05-30,ABA,USD,1,0015321,ដកការប្រាក់ចេញ
001501,6-2022,167.19,2022-06-01,ABA,USD,1,0015011,
001504,6-2022,100.23,2022-06-01,ABA,USD,1,0015041,
001506,6-2022,181.07,2022-06-03,ABA,USD,1,0015061,
001531,6-2022,61,2022-06-03,ABA,USD,1,0015311,
001503,6-2022,87.73,2022-06-04,ABA,USD,1,0015031,
001508,6-2022,64.07,2022-06-08,WING,USD,1,0015081,
001520,6-2022,68.2,2022-06-09,Cash,USD,1,0015201,
001514,6-2022,133.3,2022-06-11,ABA,USD,1,0015141,
001510,6-2022,97.13,2022-06-10,ABA,USD,1,0015101,
001457,6-2022,110.57,2022-06-10,ABA,USD,1,0014571,
001511,6-2022,200,2022-06-10,ABA,USD,1,0015111,
001507,6-2022,43,2022-06-11,WING,USD,1,0015071,
001452,6-2022,525,2022-06-12,ABA,USD,1,0014521,
001517,6-2022,27.9,2022-06-13,ABA,USD,1,0015171,
001451,6-2022,129.99,2022-06-12,ABA,USD,1,0014511,
001453,6-2022,41.33,2022-06-14,Cash,USD,1,0014531,
001516,6-2022,36.17,2022-06-13,WING,USD,1,0015161,
001518,6-2022,64,2022-06-14,WING,USD,1,0015181,
001521,6-2022,68.17,2022-06-20,WING,USD,1,0015211,
001513,6-2022,156.2,2022-06-14,ABA,USD,1,0015131,
001522,6-2022,150,2022-06-14,ABA,USD,1,0015221,
001524,6-2022,110.57,2022-06-19,Cash,USD,1,0015241,
001455,6-2022,44.43,2022-06-19,ABA,USD,1,0014551,
001459,6-2022,57.87,2022-06-20,ABA,USD,1,0014591,
001523,6-2022,37,2022-06-22,ABA,USD,1,0015231,
001512,6-2022,72.8,2022-06-24,ABA,USD,1,0015121,"ពិន័យ 4$"
001527,6-2022,75.23,2022-06-24,Cash,USD,1,0015271,
001458,6-2022,41.33,2022-06-25,ABA,USD,1,0014581,
001529,6-2022,44.43,2022-06-26,Cash,USD,1,0015291,
001465,6-2022,160.99,2022-06-27,ABA,USD,1,0014651,
001483,6-2022,670,2022-06-28,ABA,USD,1,0014831,"Discount 9$"
001534,6-2022,67.17,2022-06-30,Cash,USD,1,0015341,
001504,8-2022,100.23,2022-08-30,ABA,USD,1,0015042,
001506,7-2022,180.07,2022-07-04,ABA,USD,1,0015062,
001463,7-2022,75.43,2022-07-04,Cash,USD,1,0014631,
001535,7-2022,156,2022-07-05,Cash,USD,1,0015351,
001522,7-2022,157,2022-07-05,ABA,USD,1,0015222,
001503,7-2022,87.73,2022-07-05,Cash,USD,1,0015032,
008036,6-2022,70,2022-06-26,ABA,USD,1,0080361,
